time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.70785879629628,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70788194444444,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70832175925926,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70836805555555,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70859953703706,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70894675925928,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70903935185186,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70916666666668,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70939814814815,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70939814814815,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70940972222223,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70940972222223,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7096412037037,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70986111111114,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71020833333336,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71020833333336,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71033564814817,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71045138888888,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71047453703704,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71061342592594,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7107523148148,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71086805555555,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71130787037038,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71131944444446,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71155092592593,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71167824074072,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71182870370373,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71186342592594,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7122916666667,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7123263888889,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71259259259259,230,0756D2,In,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71270833333335,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71273148148148,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71283564814814,230,0756D2,Out,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71283564814814,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7128587962963,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7132523148148,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7132986111111,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71331018518518,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
